"AveExpr"	"LogFC_MouseC2C12"	"FDR_MouseC2C12"	"LogFC_HumanCell"	"FDR_HumanCell"	"LogFC_mean"
"F2R"	3.22457486792925	1.7556114198832	0.00034735901321597	4.07479630840134	8.49800601770265e-16	5.83040772828454
"FAM120A"	3.21239828634902	1.94409935082349	1.09970895191545e-13	2.80935568884074	2.40853436177584e-24	4.75345503966423
"EIF3M"	3.20694693223061	3.39968921844323	8.2968102448623e-18	1.69050571105508	3.63695407505867e-08	5.09019492949831
"CHMP5"	3.18884633243753	1.79179846080834	0.000379190432795503	1.90496301524436	2.55248669887608e-05	3.6967614760527
"SNAI2"	3.1877526650798	-1.13977233800733	1.57168865278812e-05	-2.30986302740139	5.78007011938713e-17	-3.44963536540871
"IDH2"	3.18768761414371	1.82050523701549	1.52776952265291e-17	1.78281354273179	9.50948353903496e-20	3.60331877974729
"PSMD2"	3.18766404403845	2.66857277683922	1.15932431045682e-18	1.05337778228389	1.35692125511904e-07	3.72195055912311
"GM10053"	3.18082521015797	2.99908636456983	1.4008612914405e-09	2.71646648599062	8.78733342955895e-10	5.71555285056045
"CCND3"	3.17409005052426	3.03216517795122	3.06019397657217e-21	2.73632431386358	2.78063635958882e-20	5.7684894918148
"CAVIN1"	3.16983116072674	2.57544312011764	6.41838374340585e-14	1.17834468444868	1.61041127544115e-05	3.75378780456631
"LGALS3"	3.16548361245341	1.90901777879808	1.0206788045877e-05	1.44238759999364	0.000141859249831727	3.35140537879172
"TMSB4Y"	3.16089942058528	1.06322454628942	4.66632610826775e-05	7.97485837711217	7.34345034623235e-54	9.0380829234016
"METTL9"	3.15975951512511	2.57418968146679	2.06470474564375e-24	1.73895207380983	8.28653985884528e-18	4.31314175527662
"SLC25A4"	3.14607690377501	1.14036221616946	0.000158588715713567	4.18448145521828	1.77166630633441e-28	5.32484367138774
"GM23202"	3.12982398365556	3.03537364828744	0.000166093166975405	3.56470661705905	8.01350662620604e-08	6.60008026534648
"SEMA3C"	3.12849330728959	3.72116124054823	1.32519442024243e-15	1.0669677146225	0.00255957123151201	4.78812895517073
"SNRPD2L"	3.12669406167409	1.05593203660622	0.0220505201189275	2.46321569452232	1.71260835387991e-08	3.51914773112854
"SNRPD2"	3.116580651848	0.928500721025139	0.0401602980714754	2.33578437894124	3.41340669545871e-08	3.26428509996638
"UQCR10"	3.10551326949633	1.81486049135201	2.48297116232449e-16	2.53694947050092	3.71958411594813e-27	4.35180996185293
"SEC61G"	3.10266422238136	1.69033505626088	0.000387420179806441	2.73782442819204	1.27621288394127e-09	4.42815948445292
