"AveExpr"	"LogFC_RatL6"	"FDR_RatL6"	"LogFC_HumanCell"	"FDR_HumanCell"	"LogFC_mean"
"ODC1"	3.2758435755874	-2.24086800420744	5.94469955294977e-16	-2.09760640503882	2.52684499901874e-14	-4.33847440924625
"CAVIN3"	3.26406817156522	-4.14946779151468	1.84275702847216e-35	-1.25831867526202	1.6974390304407e-08	-5.4077864667767
"ARL6IP1"	3.24528005427035	-1.1622731424572	1.97000960774177e-08	-2.0490916584434	1.2969566390965e-17	-3.2113648009006
"NEDD4"	3.24282534259116	0.707289057539483	0.000171526424414809	3.24338983835144	1.07122292893788e-30	3.95067889589092
"MSN"	3.23170821722284	1.37423041493542	0.00273737384466115	1.61064652067421	0.000572758823651616	2.98487693560963
"NID2"	3.21796636137579	-1.92805066946228	3.24174569980517e-08	-1.11263543965829	0.000973996308477035	-3.04068610912057
"EIF3M"	3.20694693223061	-3.39968921844323	8.2968102448623e-18	-1.70918350738814	7.54157315291243e-07	-5.10887272583137
"ACTR2"	3.20225528280835	-2.160604240595	3.91233166839075e-10	-2.68202516416608	2.68837091964705e-13	-4.84262940476108
"PSMD2"	3.18766404403845	-2.66857277683922	1.15932431045682e-18	-1.61519499455533	1.25564597185368e-09	-4.28376777139454
"CAVIN1"	3.16983116072674	-2.57544312011764	6.41838374340585e-14	-1.39709843566896	8.44486057524186e-06	-3.9725415557866
"METTL9"	3.15975951512511	-2.57418968146679	2.06470474564375e-24	-0.835237607656961	1.99058151395821e-05	-3.40942728912375
"ADIPOR1"	3.15756282023107	-1.49216270252247	1.77098058998062e-07	-1.96136731680529	9.71798078548650e-11	-3.45353001932776
"UFC1"	3.14651848547728	-1.08003873701419	4.91061601886335e-05	-2.04183115022277	4.70009484584404e-12	-3.12186988723696
"TRAM1"	3.14363720654376	-1.84848450787745	9.66511212992032e-10	-2.47948329702838	3.48605527671914e-14	-4.32796780490583
"SEMA3C"	3.12849330728959	-3.72116124054823	1.32519442024243e-15	-2.65419352592573	1.11864656203256e-09	-6.37535476647395
"CANX"	3.11059675035749	-2.81857654401897	6.63835277828086e-11	-3.6031136331005	4.21211862013049e-15	-6.42169017711947
"DDX1"	3.10718242522616	-2.6116288984327	2.4237054858732e-20	-2.07716502344926	5.14188134413572e-15	-4.68879392188196
"AC111885.1"	3.09754053582788	-5.31866562305881	7.80223043077674e-45	-1.40388467567318	2.01860318809026e-11	-6.72255029873198
"EIF3H"	3.09023936981791	-3.42003729193126	1.10733133453979e-09	-2.32894290350467	2.47356597231208e-05	-5.74898019543593
"NDUFB4"	3.07546158159589	-3.07369263570515	3.83428795712178e-23	-0.784195814851816	0.000905631633361574	-3.85788845055697
"LAMP1"	3.06484957379818	4.6546073956678	5.21862076673101e-42	2.53655784194578	1.6822988883893e-23	7.19116523761357
"TECR"	3.05797914782733	1.32156461597287	0.00401541576143239	2.79339312447006	1.24511947888168e-08	4.11495774044293
"COPA"	3.05042864172794	-2.3065266299245	1.19116333032383e-08	-1.5702088966402	6.5381079081635e-05	-3.8767355265647
"SPP1"	3.04796858314452	0.756410177229392	0.00682737212150974	7.1852767498756	8.39572378315032e-43	7.941686927105
"OXA1L"	3.04718162854194	-1.94638249237918	2.24273966091599e-08	-3.43253703470965	2.41574689446168e-17	-5.37891952708883
"ATP6V0D1"	3.04127489950231	-2.6010133500849	1.11874041909491e-18	-2.35042131889715	4.04285606915254e-16	-4.95143466898205
"SSR4"	3.03835810401583	-2.81342825365713	6.23310127818242e-10	-1.1095836752645	0.00867863129610475	-3.92301192892163
"AC018523.2"	3.03410312727111	-4.02345693893212	3.9497059546681e-34	-4.14972219523466	4.059382284472e-33	-8.17317913416678
"AK3"	3.03205068234631	-3.22910596890955	9.24893843000551e-24	-1.60558452259311	1.38508822131408e-09	-4.83469049150266
"SUB1"	3.02896979606673	-4.20776636776202	1.51711854347731e-27	-1.80026058482993	3.57404645240293e-09	-6.00802695259195
"PSMA1"	3.02597476931439	-4.02345693893212	1.23503781273695e-33	-3.91089568400695	3.66909775221685e-32	-7.93435262293906
"NDUFB11"	3.02539497837119	-2.50729634356743	2.53668414098419e-13	-1.85790046837281	1.30739598605891e-08	-4.36519681194024
"MAN2B2"	3.01841035600104	-5.13327491603591	1.73335794489234e-31	-1.40388467567318	1.87030499396085e-06	-6.53715959170908
"RNASEK"	3.0013775484131	-1.4952034510722	6.52980956566922e-12	-1.98610148925641	7.33414017038527e-17	-3.48130494032861
"CD9"	2.98569516019678	0.881549807517582	0.000109221179822181	2.86904183828277	3.10201690726827e-22	3.75059164580035
"PSMC4"	2.9728806949804	-3.0284784022863	2.05063663020872e-15	-2.62181773583272	1.82248196737344e-12	-5.65029613811902
"VAMP3"	2.95663301565464	-2.9452796479297	1.16628618750743e-28	-2.5841862263007	1.48708052898972e-24	-5.5294658742304
"IGFBP4"	2.94437278178876	-1.50792198719223	5.62626691640049e-11	-3.87232834000552	2.62476717034983e-32	-5.38025032719775
"SAE1"	2.92882177771812	-2.58628350957712	2.7668599795171e-34	-1.59740618888331	1.63103603702083e-20	-4.18368969846043
"TM9SF3"	2.92691799739434	-1.29315098926492	0.0014779267826494	-2.7004622131292	6.85689640177284e-10	-3.99361320239412
"GM21988"	2.90999681646379	-1.86488004850348	7.53457605023207e-20	-2.35577808668769	3.00683193195593e-25	-4.22065813519116
"USP14"	2.90680821085526	-3.29556839138245	5.85270251289667e-28	-2.08877508089778	2.51916808132071e-16	-5.38434347228023
"CD44"	2.90524235447484	-1.82313628715895	5.06762243395154e-05	-1.48749469340683	0.000979884060531792	-3.31063098056578
"EIF2S2"	2.90181124985887	-3.33111877019862	1.35408193177395e-13	-1.70382000486426	3.30742744402984e-05	-5.03493877506287
"GM10320"	2.90094533293981	-4.71838774301449	1.23019075569224e-14	-3.64738623825638	1.56475170723286e-10	-8.36577398127087
"CCND1"	2.90033716849715	-2.93085872023341	2.75263084221477e-22	-2.37233838270706	5.70766306946992e-17	-5.30319710294047
"GM10184"	2.8989724504097	-1.27797654154901	0.000920904355557537	-2.46254122581729	2.46495034835677e-09	-3.74051776736631
"SERBP1"	2.89542361926204	-4.40801735055247	5.46419003617231e-16	-1.0976097097906	0.0195674083151548	-5.50562706034307
"FERMT2"	2.88174563336355	-2.26178628257225	1.48438806668019e-16	-2.327843532005	8.76818967951197e-17	-4.58962981457725
"PRDX6"	2.87172142501808	-3.08810470915035	3.60010411612097e-29	-5.17954712059673	1.33083361905127e-44	-8.26765182974707
"QARS"	2.87141634805498	-1.5104767673203	1.7859927808908e-13	-1.88624967031898	1.68171532003298e-17	-3.39672643763928
"COPS2"	2.87138078273084	-1.33482273759439	3.84670165598129e-05	-1.68708198154577	5.29792138695873e-07	-3.02190471914016
"EHD2"	2.87010362975067	-2.15055792876094	8.73976201166344e-12	-2.51206996315725	3.50681667103371e-14	-4.6626278919182
"GJA1"	2.85270628617528	-2.27374189058618	6.39463766600909e-12	-1.80262754324821	1.98958266996168e-08	-4.07636943383439
