"AveExpr"	"LogFC_MouseC2C12"	"FDR_MouseC2C12"	"LogFC_RatL6"	"FDR_RatL6"	"LogFC_mean"
"F2R"	3.22457486792925	-2.31918488851815	4.99040703899924e-06	-4.07479630840134	8.49800601770265e-16	-6.39398119691949
"PSMA7"	3.22070183906601	-1.16922449506776	1.39816149122054e-07	-1.76141435355313	5.90100476023706e-16	-2.93063884862089
"FAM120A"	3.21239828634902	-0.865256338017246	0.000182585779193878	-2.80935568884074	2.40853436177584e-24	-3.67461202685798
"RHEB"	3.20285216116783	-2.40354032649106	2.2632333922244e-24	-2.58296121443159	1.87843708160059e-33	-4.98650154092265
"CHCHD3"	3.20208712623594	2.48441236417216	6.51068745113936e-15	1.96300917338147	4.45199528409384e-13	4.44742153755363
"MEF2C"	3.19846315577336	2.83785993959414	2.5828622936907e-11	2.17088316461478	2.82335036716727e-09	5.00874310420892
"WLS"	3.19446802979919	-1.75184644122556	5.54706207024834e-28	-1.22305672360043	4.25235712558026e-22	-2.97490316482599
"SNAI2"	3.1877526650798	1.17009068939406	9.28648684622651e-06	2.30986302740139	5.78007011938713e-17	3.47995371679545
"GSN"	3.18412944134476	-1.43486681287305	1.5039656354089e-05	-1.50920338277168	3.25115262411436e-07	-2.94407019564473
"SEPT11"	3.17513756648726	1.62007899619044	1.52479231342289e-06	2.40714870389291	1.06221809305472e-13	4.02722770008335
"AC010323.1"	3.17053436801664	-1.95236409510315	2.75233180989277e-12	-2.2327176445047	6.50091647582868e-17	-4.18508173960785
"NDUFA7"	3.17053436801664	-1.95236409510315	2.75233180989277e-12	-2.2327176445047	6.50091647582868e-17	-4.18508173960785
"AABR07056686.1"	3.16280054751085	-2.1970237770003	6.88072271995661e-07	-1.97714159909683	4.63466723567923e-07	-4.17416537609713
"NDUFA13"	3.16280054751085	-2.1970237770003	6.88072271995661e-07	-1.97714159909683	4.63466723567923e-07	-4.17416537609713
"TMSB4Y"	3.16089942058528	-6.91163383082275	2.73632963644447e-44	-7.97485837711217	7.34345034623235e-54	-14.8864922079349
"AABR07072356.1"	3.14912168668789	1.67127092347212	2.62618348013487e-15	1.64242485964287	8.86709869105867e-18	3.313695783115
"TMEM14C"	3.14912168668789	1.67127092347212	2.62618348013487e-15	1.64242485964287	8.86709869105867e-18	3.313695783115
"SLC25A4"	3.14607690377501	-3.04411923904883	4.62608172738328e-17	-4.18448145521828	1.77166630633441e-28	-7.22860069426711
"SAP18B"	3.14591561875033	-1.63200478202525	2.55192152109937e-14	-1.71027801858991	4.4981304290648e-20	-3.34228280061516
"CAPZA2"	3.13737278552683	-1.61933976732693	2.7444136465797e-11	-1.77720429805541	2.71559767752451e-15	-3.39654406538234
"PRKCSH"	3.13132811764276	1.73046633432864	9.68597538917897e-13	1.18805157849089	3.87759154530058e-09	2.91851791281953
"COX7C"	3.13125997542097	-2.15907718368104	0.000118052182364548	-1.59985902114882	0.000984799552246409	-3.75893620482987
